,Track,Album_Name,Artist,Release_Date,ISRC,All_Time_Rank,Track_Score,Spotify_Streams,Spotify_Playlist_Count,Spotify_Playlist_Reach,Spotify_Popularity,YouTube_Views,YouTube_Likes,TikTok_Posts,TikTok_Likes,TikTok_Views,YouTube_Playlist_Reach,Apple_Music_Playlist_Count,AirPlay_Spins,SiriusXM_Spins,Deezer_Playlist_Count,Deezer_Playlist_Reach,Amazon_Playlist_Count,Pandora_Streams,Pandora_Track_Stations,Soundcloud_Streams,Shazam_Counts,TIDAL_Popularity,Explicit_Track,numero_ligne,Pandora_Track,spotify_artist_id,spotify_followers_feb25,artist_genres
2484,Bombonzinho - Ao Vivo,Bombonzinho (Ao Vivo),Israel & Rodolffo,2022-11-03,BRRGE2200815,2576,27.9,343704935,21379,13592125,61.0,0,659040,176878,8502888,153392985,699848365,22.0,6760,0,35,0,12,1634,,0,206908,,0,2582,1634,2Y06xyHPovQ8DWLyVIpSJK,527285,Error: 429
448,Forget Me,Forget Me,Lewis Capaldi,2022-09-09,DEUM72204717,465,71.4,343556188,53783,14916823,69.0,0,611379,30806,18533179,268283723,350881548,76.0,641638,220,25,0,39,36438448,"3,704",0,3723951,,0,467,36438448,4GNC7GD6oZMSxPGyXy4MNB,13273454,Error: 429
2105,World's Smallest Violin,OK ORCHESTRA,AJR,2021-01-01,QMRSZ2003324,2165,30.8,343227483,71196,5509068,63.0,0,4107386,532614,652146812,6292383402,988296994,9.0,38402,554,4,0,6,8090551,"75,244",4172343,2936528,,1,2177,8090551,6s22t5Y3prQHyaHWUN1R1C,3540575,Error: 429
111,Saturn,Saturn - Single,SZA,2024-02-24,USRC12400216,117,142.8,343090427,21104,154253718,87.0,0,349660,0,0,0,196380893,120.0,158378,360,103,0,87,11441987,"7,496",166254,745798,,0,117,11441987,7tYKF4w9nC0nq9CsPZTHyP,27313586,Error: 429
4195,Fall in Love with You.,Fall in Love with You. - Single,Montell Fish,2021-11-05,QZNWR2164926,4320,20.2,342872540,67188,17442127,74.0,0,793123,233511,123098301,850439402,119747,10.0,72,0,7,0,20,2613145,"3,132",0,611661,,0,4351,2613145,5nvWOyAkfNgVLKESq4fOj2,1888655,Error: 429
2967,Aguacero,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214886,3068,25.0,342075557,42659,11281372,68.0,0,963861,419100,226879716,1873295908,25525556,8.0,628,0,0,0,0,7618357,"1,397",0,415047,,0,3078,7618357,4q3ewBCX7sLwd24euuV69X,91075954,Error: 429
882,Tattoo,Tattoo,Rauw Alejandro,2020-02-13,QZHN21900087,922,50.4,341742937,53836,9757013,58.0,0,7138308,2132748,73202309,650666266,171345507,45.0,11458,117,15,0,45,6119993,"4,186",0,713534,,0,923,6119993,1mcTU81TzQhprhouKaTkpq,26600372,Error: 429
582,X - Remix,X (Remix),Nicky Jam,2018-06-19,USSD11800257,605,61.5,341040837,36912,15902955,60.0,0,10451653,16100,3472949,24802266,234524144,23.0,5850,0,19,0,0,95517258,"14,891",0,727415,,0,609,95517258,1SupJlEpv7RS2tPNRaHViT,19497129,Error: 429
1853,Ya Acabo,"DEV, Vol. 2",Marca MP,2021-02-19,QZFZ62111678,1916,33.1,340744110,34114,13462017,65.0,0,3072699,148099,24444067,229127001,16616564,8.0,3944,328,3,0,9,79403159,"20,882",0,1239032,,0,1918,79403159,44mEtidu0VdRkIqO4IbkNa,2732051,Error: 429
682,New Divide,Papercuts,Linkin Park,2024-04-12,USWB12400679,706,57.6,340239513,161,923021,,0,0,0,0,0,0,1.0,0,0,0,0,0,0,,64127,2651682,,0,712,0,6XyY86QOPPrYVGvF9ch6wz,28825788,Error: 429
866,Thought You Should Know,Thought You Should Know,Morgan Wallen,2022-05-06,USUG12202977,906,50.7,340227841,40523,6267614,73.0,0,667467,16626,4371872,28018314,196339404,18.0,263301,32,1,71,13,215914717,"34,298",4421163,857184,,1,907,215914717,4oUHIQIBe0LHzYfvXNW4QM,11920260,Error: 429
1082,Worth It,Worth It,YK Osiris,2019-02-08,USUM71821752,1125,44.8,340112388,66487,6617103,60.0,0,3313053,576099,18279931,132694197,41301726,28.0,11151,32,5,0,2,171927306,"162,394",103378626,1660493,,0,1133,171927306,7meyrw7Or5DwteYxDJrkCM,1743999,Error: 429
3690,Ignite,Ignite,Alan Walker,2018-05-11,NOG841803010,3815,21.9,339954855,61901,8272313,64.0,0,6308434,411372,16903913,215231253,199672186,14.0,7518,0,6,0,9,11727727,"11,943",0,2570303,,0,3822,11727727,7vk5e3vY1uw9plTHJAMwjN,40271612,Error: 429
3298,23,"23 (feat. Miley Cyrus, Wiz Khalifa & Juicy J) - Single",Mike WiLL Made-It,2013-01-01,USUM71312049,3409,23.5,339514083,62118,14714742,63.0,0,5697309,791577,18838361,164169789,149601135,26.0,5802,0,12,0,20,205205235,"501,321",0,4621402,,1,3420,205205235,0NWbwDZY1VkRqFafuQm6wk,1622542,Error: 429
3106,Ahora Me Llama,Ahora Me Llama,KAROL G,2017-05-26,USUM71703012,3208,24.3,338782953,37015,12386097,64.0,0,4740945,74386,9505223,99920646,157434221,25.0,1822,7,15,0,10,89151096,"22,315",0,1724227,,1,3224,89151096,790FomKkXshlbRYZFtlgla,54784739,Error: 429
870,Out thï¿½ï¿½,Lyfï¿,Yeat,2022-09-09,USUM72217063,907,50.6,338097605,85480,16509403,73.0,0,680291,47215,15066093,117839587,18856089,14.0,63,37,1,0,0,1750477,"4,925",26616347,664273,,1,911,1750477,3qiHUAX7zY4Qnjx8TNUzVx,5670827,Error: 429
