,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Pandora Track,Unnamed: 0,channelId,channelUsername,channelUrl,numberOfSubscribers,channelTotalViews,channelTotalVideos,viewCount
851,Yeah Glo!,Yeah Glo! (Alternate Versions),GloRilla,2024-02-08,USUM72400409,864,52.2,89513100,8049,60410593,75.0,38613955,433335,0,14000,52800,547710147,51.0,20,0,9,0,42,20163317,0,3187345,446156,1,20163317,,,,,,,,
852,Nunca Es Suficiente,Nunca Es Suficiente,Los ï¿½ï¿½ngeles Az,2018-04-20,MX1721600892,863,52.2,478494818,53736,20478756,67.0,2148970473,6055824,43294,16884958,145723405,43699996,37.0,10958,24,8,0,10,239441848,0,0,3116053,0,239441848,,,,,,,,
853,MANIKIN (feat. Wifisfuneral),ItWasntEnough - EP,XXXTENTACION,2023-09-08,USQX92304814,868,52.1,4306793,4668,412676,,0,0,0,0,0,0,,0,0,0,0,0,0,0,34328895,38034,1,,66.0,UCM9r1xn6s30OnlJWb-jc3Sw,xxxtentacion,https://www.youtube.com/channel/UCM9r1xn6s30OnlJWb-jc3Sw,41500000.0,11526258626.0,135.0,5623534.0
854,Copines,Copines,Aya Nakamura,2018-08-24,FRZ041800793,867,52.1,381322519,70125,7759068,67.0,793025740,7300331,9295551,769130337,8503116899,11289899,45.0,16672,0,29,0,7,549774,0,0,5305717,0,549774,,,,,,,,
855,Thank God,Different Man,Kane Brown,2022-09-09,USRN12200041,866,52.1,157341967,20612,11359519,67.0,98239826,752054,213898,11321551,123462516,366164170,59.0,372512,127,15,0,46,137496334,0,0,1100920,0,137496334,,,,,,,,
856,TQM,TQM - Single,Fuerza Regida,2023-05-19,QZ9QQ2300371,869,51.8,497682165,40368,24948673,70.0,143949357,729741,236300,73808507,824220151,65010,48.0,1643,19,18,0,19,34606889,0,0,616368,1,34606889,,,,,,,,
857,Lily,Different World,Alan Walker,2018-12-14,NOG841813040,870,51.8,403860053,45516,8731552,66.0,1057546150,7402999,7210674,89296676,1297576376,3130304,6.0,1552,0,1,310,9,26619723,0,0,1793716,0,26619723,14.0,UCJrOtniJ0-NWz37R30urifQ,Alanwalkermusic,https://www.youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ,46500000.0,15147549396.0,730.0,171059.0
858,Massive,"Honestly, Nevermind",Drake,2022-06-17,USUG12204890,873,51.7,253114498,111173,20965015,65.0,42397563,402014,188128,77604432,887138394,49818215,57.0,67376,768,14,0,28,15938883,0,4254609,2091080,0,15938883,28.0,UCSePgMI6WVzSE7rjiNj6jnA,DrakeRofls,https://www.youtube.com/channel/UCSePgMI6WVzSE7rjiNj6jnA,351000.0,114070368.0,1352.0,17296.0
859,a lot,i am > i was,21 Savage,2018-12-21,QZ45A1700126,872,51.7,949835159,219301,32815164,73.0,905118647,6526285,55114,16502363,131214658,180070256,70.0,94446,82,28,0,30,123783971,0,0,3759769,1,123783971,93.0,UCOjEHmBKwdS7joWpW0VrXkg,21savage,https://www.youtube.com/channel/UCOjEHmBKwdS7joWpW0VrXkg,9750000.0,5897665290.0,156.0,9834523.0
860,Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),Tainy,2019-08-22,USUM71912751,871,51.7,711861577,84611,28656289,69.0,1359220447,4586141,611826,17295595,185706534,136934639,133.0,12356,18,25,0,28,111865989,0,5576102,1522049,0,111865989,,,,,,,,
